avg,best
18447.88,15313.0
17654.68,14153.0
12662.56,10347.0
11288.72,9381.0
10352.7,8336.0
9913.0,8336.0
9736.62,8218.0
9609.38,8218.0
9399.96,8218.0
9445.42,8001.0
9105.88,7572.0
9215.1,7572.0
9112.76,7572.0
9038.16,7572.0
8853.86,7572.0
9010.52,7513.0
8910.26,7198.0
8731.12,7198.0
8475.84,7198.0
8691.76,7198.0
8794.14,7198.0
8371.16,7198.0
8537.62,7198.0
8504.78,7198.0
8488.14,7198.0
8330.02,7084.0
8254.86,7084.0
8345.94,6804.0
8137.74,6804.0
8096.86,6804.0
8039.02,6775.0
7924.24,6775.0
7762.5,6775.0
7647.62,6597.0
7608.24,6597.0
7616.02,6597.0
7633.92,6597.0
7466.96,6597.0
7531.94,6597.0
7373.92,6597.0
7490.62,6597.0
7271.68,6597.0
7098.1,6597.0
7085.98,6597.0
6919.76,6578.0
6847.54,6578.0
6833.5,6578.0
6798.3,6578.0
6806.8,6578.0
6748.2,6570.0
6792.62,6474.0
6779.96,6474.0
6805.46,6474.0
6784.0,6474.0
6853.14,6474.0
6796.44,6474.0
6739.9,6474.0
6794.06,6474.0
6732.56,6474.0
6829.26,6474.0
6753.52,6474.0
6800.52,6474.0
6792.3,6474.0
6773.9,6474.0
6783.82,6474.0
6703.18,6474.0
6704.2,6455.0
6684.74,6455.0
6626.04,6455.0
6610.38,6455.0
6596.48,6455.0
6623.2,6455.0
6637.86,6455.0
6648.2,6455.0
6603.52,6455.0
6618.56,6455.0
6594.88,6455.0
6627.98,6455.0
6622.46,6455.0
6586.84,6455.0
6624.48,6455.0
6619.44,6455.0
6610.0,6455.0
6597.6,6455.0
6604.8,6455.0
6608.7,6455.0
6589.38,6455.0
6618.14,6455.0
6610.48,6455.0
6589.38,6455.0
6605.38,6455.0
6587.58,6455.0
6605.78,6455.0
6616.5,6455.0
6590.76,6455.0
6604.08,6455.0
6589.76,6455.0
6614.98,6455.0
6603.56,6455.0
