,best
0,39822.861888980835
1,39822.861888980835
2,38714.36983426752
3,38626.94818827255
4,38568.1921696511
5,38247.93012235858
6,38247.93012235858
7,38247.93012235858
8,38247.93012235858
9,38247.93012235858
10,38247.93012235858
11,38247.93012235858
12,38247.93012235858
13,38247.93012235858
14,38247.93012235858
15,38247.93012235858
16,38247.93012235858
17,38247.93012235858
18,38247.93012235858
19,38247.93012235858
20,38247.93012235858
21,38247.93012235858
22,38247.93012235858
23,38247.93012235858
24,38247.93012235858
25,38247.93012235858
26,38247.93012235858
27,38247.93012235858
28,38247.93012235858
29,38247.93012235858
30,38247.93012235858
31,38247.93012235858
32,38247.93012235858
33,38247.93012235858
34,38247.93012235858
35,38247.93012235858
36,38247.93012235858
37,38247.93012235858
38,38247.93012235858
39,38247.93012235858
40,38247.93012235858
41,38247.93012235858
42,38247.93012235858
43,38247.93012235858
44,38247.93012235858
45,38247.93012235858
46,38247.93012235858
47,38247.93012235858
48,38247.93012235858
49,38247.93012235858
50,38247.93012235858
51,38247.93012235858
52,38247.93012235858
53,38247.93012235858
54,38247.93012235858
55,38247.93012235858
56,38247.93012235858
57,38247.93012235858
58,38247.93012235858
59,38247.93012235858
60,38247.93012235858
61,38247.93012235858
62,38247.93012235858
63,38247.93012235858
64,38247.93012235858
65,38247.93012235858
66,38247.93012235858
67,38247.93012235858
68,38247.93012235858
69,38247.93012235858
70,38247.93012235858
71,38247.93012235858
72,38247.93012235858
73,38247.93012235858
74,38247.93012235858
75,38247.93012235858
76,38247.93012235858
77,38247.93012235858
78,38247.93012235858
79,38247.93012235858
80,38247.93012235858
81,38247.93012235858
82,37194.641317727415
83,37194.641317727415
84,37194.641317727415
85,37194.641317727415
86,37194.641317727415
87,37194.641317727415
88,37194.641317727415
89,37194.641317727415
90,37194.641317727415
91,37194.641317727415
92,37194.641317727415
93,37194.641317727415
94,37194.641317727415
95,37194.641317727415
96,37194.641317727415
97,37194.641317727415
98,37194.641317727415
99,37194.641317727415
